edge_id,length_m,lane_count,speed_mps,priority,planned_count,actual_entered_count,zero_planned,zero_actual
-1002205278,47.56,1,13.89,3,8,0.0,False,True
-1002205279,28.99,1,13.89,3,0,0.0,True,True
-1002205303#1,75.26,1,13.89,3,0,0.0,True,True
-1004718837,19.49,1,2.78,2,0,0.0,True,True
-1004836024,133.73,1,13.89,3,0,0.0,True,True
-1016508136#2,46.39,1,13.89,3,0,0.0,True,True
-1125773040,24.07,1,13.89,3,0,0.0,True,True
-1125773041,45.54,1,13.89,3,0,0.0,True,True
-1125773044,17.56,1,13.89,3,0,0.0,True,True
-1126339784,38.11,1,13.89,3,0,0.0,True,True
-1149179293,104.05,1,13.89,3,0,0.0,True,True
-117770531#4,41.67,1,13.89,3,0,0.0,True,True
-117770543#0,90.8,1,13.89,3,0,0.0,True,True
-117770543#1,72.91,1,13.89,3,0,0.0,True,True
-117784411#1,93.21,1,13.89,3,0,0.0,True,True
-117784415,91.12,1,13.89,3,2,0.0,False,True
-117784417#0,33.69,1,13.89,3,0,0.0,True,True
-117784418#0,35.0,1,13.89,3,0,0.0,True,True
-117784418#1,33.2,1,13.89,3,0,0.0,True,True
-117784418#2,30.3,1,13.89,3,0,0.0,True,True
-117914351#0,22.41,1,13.89,3,0,0.0,True,True
-117914351#2,83.56,1,13.89,3,0,0.0,True,True
-117914353#0,25.69,1,13.89,3,0,0.0,True,True
-117914353#1,16.78,1,13.89,3,0,0.0,True,True
-117914353#2,25.6,1,13.89,3,0,0.0,True,True
-117914848#1,79.56,1,13.89,3,0,0.0,True,True
-117914848#3,18.75,1,13.89,3,0,0.0,True,True
-1274416500,51.16,1,13.89,3,0,0.0,True,True
-1283636934#0,89.91,1,13.89,3,0,0.0,True,True
-1380482780,17.96,1,13.89,3,0,0.0,True,True
-1380857658,7.06,1,13.89,3,0,0.0,True,True
-1381133418,57.01,1,13.89,3,0,0.0,True,True
-1424068314#4,32.66,2,27.78,12,0,0.0,True,True
-1455527229,22.33,2,27.78,12,6,0.0,False,True
-1456115802,50.2,1,13.89,3,0,0.0,True,True
-170207591#0,61.93,1,13.89,3,0,0.0,True,True
-170403791#3,129.15,1,13.89,3,0,0.0,True,True
-170403792,92.77,1,13.89,3,0,0.0,True,True
-170403804#3,131.0,1,13.89,3,3,0.0,False,True
-170403810#3,143.38,1,13.89,3,0,0.0,True,True
-170403818#2,30.72,1,13.89,3,0,0.0,True,True
-170403818#5,43.35,1,13.89,3,0,0.0,True,True
-170403831#4,193.09,1,13.89,3,0,0.0,True,True
-176728949#1,173.0,1,13.89,3,4,0.0,False,True
-176728950#0,82.58,1,22.22,10,0,0.0,True,True
-176728950#2,40.86,1,22.22,10,1,0.0,False,True
-183272580#1,35.62,1,13.89,3,0,0.0,True,True
-198691062#1,65.4,1,13.89,3,0,0.0,True,True
-198691072#0,23.25,1,13.89,3,0,0.0,True,True
-198691072#1,25.19,1,13.89,3,0,0.0,True,True
-198691080#0,0.2,1,13.89,3,1,0.0,False,True
-198691080#1,18.37,1,13.89,3,0,0.0,True,True
-198691080#2,26.41,1,13.89,3,0,0.0,True,True
-198691081,63.44,1,13.89,3,0,0.0,True,True
-198691083,52.66,1,13.89,3,0,0.0,True,True
-198691084,45.73,1,13.89,3,1,0.0,False,True
-198691087#1,64.38,1,13.89,3,0,0.0,True,True
-198691091,59.44,1,13.89,3,4,0.0,False,True
-198691093,50.18,1,13.89,3,0,0.0,True,True
-203501044,20.07,1,13.89,4,0,0.0,True,True
-215843535#2,39.34,1,22.22,10,0,0.0,True,True
-215843535#5,86.92,1,22.22,10,1,0.0,False,True
-218684408#1,98.11,1,27.78,11,0,0.0,True,True
-218684408#2,27.3,1,27.78,11,0,0.0,True,True
-218684408#4,31.4,1,27.78,11,0,0.0,True,True
-218684408#5,65.54,1,27.78,11,0,0.0,True,True
-218684411#3,5.97,3,27.78,12,0,0.0,True,True
-218684411#4,31.25,3,27.78,12,0,0.0,True,True
-218960895#0,49.09,1,27.78,11,0,0.0,True,True
-223418965#1,59.08,1,22.22,10,0,0.0,True,True
-223418965#17,234.03,1,22.22,10,0,0.0,True,True
-228795467#2,96.59,1,13.89,3,0,0.0,True,True
-228795474#0,73.6,1,13.89,3,0,0.0,True,True
-228795477#3,25.98,1,13.89,3,4,0.0,False,True
-228795477#5,10.88,1,13.89,3,0,0.0,True,True
-228795477#6,29.78,1,13.89,3,0,0.0,True,True
-228795477#7,45.5,1,13.89,3,0,0.0,True,True
-228795480,76.94,1,13.89,3,2,0.0,False,True
-228795481#0,127.43,1,13.89,3,0,0.0,True,True
-228795481#1,39.13,1,13.89,3,0,0.0,True,True
-228795483,34.25,1,13.89,3,0,0.0,True,True
-228796091#0,12.97,1,13.89,3,0,0.0,True,True
-228797638#1,68.66,1,13.89,3,0,0.0,True,True
-229028338#0,0.42,1,13.89,3,0,0.0,True,True
-229028344#1,37.39,1,13.89,3,0,0.0,True,True
-233651275,71.59,1,13.89,3,0,0.0,True,True
-233651289#1,105.03,1,13.89,3,0,0.0,True,True
-233651326#2,156.23,1,13.89,3,0,0.0,True,True
-233651327#5,69.76,1,13.89,3,0,0.0,True,True
-233651328#2,137.75,1,13.89,3,0,0.0,True,True
-233651338#2,241.88,1,13.89,3,0,0.0,True,True
-233652295#2,27.33,1,13.89,3,0,0.0,True,True
-238535895#0,66.7,1,13.89,3,0,0.0,True,True
-238535896#2,60.54,1,13.89,3,0,0.0,True,True
-243542154#9,82.57,1,13.89,3,0,0.0,True,True
-243542157,55.97,1,13.89,3,1,0.0,False,True
-244215399,88.61,1,13.89,3,0,0.0,True,True
-268782232#2,29.36,1,13.89,3,0,0.0,True,True
-268782234#0,33.9,1,8.33,3,0,0.0,True,True
-268782334#0,24.59,1,8.33,3,12,0.0,False,True
-270279686#0,47.61,1,13.89,3,4,0.0,False,True
-270279686#1,20.2,1,13.89,3,0,0.0,True,True
-272228440#2,36.53,1,13.89,3,0,0.0,True,True
-272228442,27.06,1,13.89,3,0,0.0,True,True
-272228567,22.08,1,13.89,3,0,0.0,True,True
-272228670#1,165.7,1,13.89,3,0,0.0,True,True
-272232099#1,58.82,1,13.89,3,0,0.0,True,True
-272263605#1,134.96,1,13.89,3,0,0.0,True,True
-272263606,242.35,1,13.89,3,0,0.0,True,True
-273639456,48.6,1,13.89,3,0,0.0,True,True
-273639766,61.2,1,13.89,3,0,0.0,True,True
-273647556#1,57.39,1,13.89,3,0,0.0,True,True
-273647638#0,29.2,1,13.89,3,0,0.0,True,True
-273648116#1,23.73,1,13.89,3,0,0.0,True,True
-273896133#2,83.6,1,13.89,3,0,0.0,True,True
-273896156#0,64.78,1,13.89,3,0,0.0,True,True
-273896156#2,19.04,1,13.89,3,0,0.0,True,True
-277257944#3,188.54,1,13.89,3,0,0.0,True,True
-301285279#0,153.35,1,13.89,3,3,0.0,False,True
-301285279#2,90.75,1,13.89,3,0,0.0,True,True
-315658896#7,7.65,1,13.89,3,0,0.0,True,True
-315658897#5,151.42,1,13.89,3,0,0.0,True,True
-315658899#1,175.54,1,13.89,3,1,0.0,False,True
-315658900#2,60.97,1,13.89,3,0,0.0,True,True
-315658900#3,13.39,1,13.89,3,0,0.0,True,True
-315658900#5,93.9,1,13.89,3,0,0.0,True,True
-315658900#8,225.7,1,13.89,3,0,0.0,True,True
-318747850#0,30.52,1,13.89,3,0,0.0,True,True
-318747850#1,96.06,1,13.89,3,0,0.0,True,True
-318747850#2,26.26,1,13.89,3,0,0.0,True,True
-318747850#3,37.48,1,13.89,3,0,0.0,True,True
-322977650,13.69,1,13.89,3,0,0.0,True,True
-327035699#1,39.31,1,13.89,3,0,0.0,True,True
-327040896,58.87,1,13.89,3,0,0.0,True,True
-329612996,122.71,1,13.89,3,0,0.0,True,True
-329995231#0,36.71,1,13.89,3,4,0.0,False,True
-333554714#1,45.99,2,27.78,12,4,0.0,False,True
-344663901#3,161.43,1,13.89,3,0,0.0,True,True
-348626444#0,17.95,1,13.89,3,3,0.0,False,True
-348626444#2,27.45,1,13.89,3,1,0.0,False,True
-348626444#3,25.93,1,13.89,3,0,0.0,True,True
-348648522,91.63,1,13.89,4,0,0.0,True,True
-351672095#1,118.05,1,13.89,3,2,0.0,False,True
-37399598#3,21.52,1,27.78,11,0,0.0,True,True
-37402180#2,13.66,1,27.78,11,0,0.0,True,True
-381226321,12.52,1,13.89,3,0,0.0,True,True
-381447817#1,109.45,1,13.89,3,13,0.0,False,True
-381447818,83.19,1,13.89,3,0,0.0,True,True
-381447820,29.9,1,13.89,3,0,0.0,True,True
-381447824,48.55,1,13.89,3,0,0.0,True,True
-381447826,46.47,1,13.89,3,0,0.0,True,True
-381447831#0,37.85,1,13.89,3,0,0.0,True,True
-381447831#1,17.86,1,13.89,3,0,0.0,True,True
-381447833#0,52.07,1,13.89,3,0,0.0,True,True
-381447834#0,48.58,1,13.89,3,0,0.0,True,True
-381447834#1,13.67,1,13.89,3,0,0.0,True,True
-381447836#0,13.59,1,13.89,3,2,0.0,False,True
-381452097#2,25.83,1,13.89,3,0,0.0,True,True
-381452097#3,35.08,1,13.89,3,0,0.0,True,True
-381452098#0,146.89,1,13.89,3,6,0.0,False,True
-381452099,101.73,1,13.89,3,0,0.0,True,True
-381452111,33.3,1,13.89,3,0,0.0,True,True
-381452112,15.11,1,13.89,3,0,0.0,True,True
-381452116,53.1,1,13.89,3,0,0.0,True,True
-381452117,10.67,1,13.89,3,1,0.0,False,True
-381452128,58.66,1,13.89,3,10,0.0,False,True
-381452129,14.46,1,13.89,3,0,0.0,True,True
-381452133,33.74,1,13.89,3,0,0.0,True,True
-381452134,101.56,1,13.89,3,2,0.0,False,True
-381452136,48.4,1,13.89,3,0,0.0,True,True
-381452137,22.52,1,13.89,3,1,0.0,False,True
-381452147,37.62,1,13.89,3,0,0.0,True,True
-381452149#0,2.4,1,13.89,3,2,0.0,False,True
-381452151,109.8,1,13.89,3,0,0.0,True,True
-381452152,79.06,1,13.89,3,0,0.0,True,True
-381452158,62.42,1,13.89,3,0,0.0,True,True
-381452159,52.76,1,13.89,3,1,0.0,False,True
-381452160#1,37.97,1,13.89,3,0,0.0,True,True
-381452166#3,32.15,1,13.89,3,0,0.0,True,True
-381452169,67.17,1,13.89,3,0,0.0,True,True
-381452172,89.54,1,13.89,3,0,0.0,True,True
-381452174#1,82.62,1,13.89,3,0,0.0,True,True
-381452180#0,0.77,1,13.89,3,0,0.0,True,True
-381452180#2,16.98,1,13.89,3,0,0.0,True,True
-381452182#1,43.13,1,13.89,3,5,0.0,False,True
-381452186#0,24.29,1,13.89,3,0,0.0,True,True
-381453321#5,87.26,1,13.89,3,0,0.0,True,True
-381453322,28.45,1,13.89,3,0,0.0,True,True
-381453323,35.48,1,13.89,3,0,0.0,True,True
-381453327,93.28,1,13.89,3,0,0.0,True,True
-381453798,67.82,1,13.89,3,0,0.0,True,True
-381453800,80.62,1,13.89,3,0,0.0,True,True
-381456417#2,38.4,1,13.89,3,0,0.0,True,True
-381456419#0,10.75,1,13.89,3,0,0.0,True,True
-381456419#1,46.4,1,13.89,3,0,0.0,True,True
-381456422#3,26.82,1,13.89,3,0,0.0,True,True
-381456422#7,4.73,1,13.89,3,0,0.0,True,True
-381456424#1,3.85,1,13.89,3,0,0.0,True,True
-381456429,20.3,1,13.89,3,0,0.0,True,True
-381456432,64.05,1,13.89,3,0,0.0,True,True
-381456433,28.8,1,13.89,3,2,0.0,False,True
-381456440#1,20.43,1,13.89,3,0,0.0,True,True
-381456441,57.98,1,13.89,3,0,0.0,True,True
-381456443,49.27,1,13.89,3,0,0.0,True,True
-381456444,30.15,1,13.89,3,0,0.0,True,True
-381456447,49.89,1,13.89,3,0,0.0,True,True
-381456448,53.82,1,13.89,3,0,0.0,True,True
-381456453#0,43.01,1,13.89,3,0,0.0,True,True
-381456453#1,18.05,1,13.89,3,0,0.0,True,True
-381456456,54.62,1,13.89,3,2,0.0,False,True
-381456457#1,40.98,1,13.89,3,0,0.0,True,True
-381456457#2,50.98,1,13.89,3,0,0.0,True,True
-381456458,39.97,1,13.89,3,5,0.0,False,True
-381456459,40.91,1,13.89,3,0,0.0,True,True
-381456461,56.76,1,13.89,3,0,0.0,True,True
-381456463#0,15.58,1,13.89,3,0,0.0,True,True
-381456464#1,69.13,1,13.89,3,0,0.0,True,True
-381456466#0,23.67,1,13.89,3,0,0.0,True,True
-381456468#0,10.33,1,13.89,3,0,0.0,True,True
-381456468#1,20.44,1,13.89,3,0,0.0,True,True
-381458589#1,0.2,1,13.89,3,5,0.0,False,True
-381802843#0,54.74,1,13.89,3,0,0.0,True,True
-381802843#1,76.34,1,13.89,3,0,0.0,True,True
-381802844#1,9.81,1,13.89,3,0,0.0,True,True
-381802844#2,0.2,1,13.89,3,0,0.0,True,True
-381802844#3,0.2,1,13.89,3,0,0.0,True,True
-381802844#5,9.23,1,13.89,3,0,0.0,True,True
-381802844#6,2.47,1,13.89,3,0,0.0,True,True
-381802844#7,4.71,1,13.89,3,0,0.0,True,True
-381802844#8,14.29,1,13.89,3,4,0.0,False,True
-381802845#3,40.13,1,13.89,3,0,0.0,True,True
-381802847#2,89.35,1,13.89,3,0,0.0,True,True
-381802847#3,26.59,1,13.89,3,0,0.0,True,True
-381802848#0,13.44,1,13.89,3,0,0.0,True,True
-381802848#2,33.18,1,13.89,3,0,0.0,True,True
-381802860#0,46.31,1,13.89,3,0,0.0,True,True
-381802870#0,39.9,1,13.89,3,0,0.0,True,True
-381802874#0,33.39,1,13.89,3,0,0.0,True,True
-381802874#1,34.15,1,13.89,3,0,0.0,True,True
-381802876#0,29.22,1,13.89,3,0,0.0,True,True
-381802876#1,72.21,1,13.89,3,0,0.0,True,True
-381802879#0,69.08,1,13.89,3,0,0.0,True,True
-381802881#0,47.71,1,13.89,3,0,0.0,True,True
-381802883#0,70.24,1,13.89,3,2,0.0,False,True
-381802883#1,66.5,1,13.89,3,0,0.0,True,True
-381802884#1,34.94,1,13.89,3,15,0.0,False,True
-381807690#2,49.5,1,13.89,3,0,0.0,True,True
-381807698#3,145.75,1,13.89,3,0,0.0,True,True
-381809843#0,51.79,1,13.89,3,0,0.0,True,True
-381809843#1,113.99,1,13.89,3,0,0.0,True,True
-381809844#1,96.1,1,13.89,3,0,0.0,True,True
-381809850#2,97.01,1,13.89,3,0,0.0,True,True
-420086350,121.81,1,13.89,3,0,0.0,True,True
-420089386#2,33.25,1,13.89,3,0,0.0,True,True
-420089386#3,41.43,1,13.89,3,0,0.0,True,True
-420092888#0,76.38,1,13.89,3,0,0.0,True,True
-420092888#1,81.34,1,13.89,3,0,0.0,True,True
-420092889#1,46.95,1,13.89,3,0,0.0,True,True
-420092889#2,21.28,1,13.89,3,0,0.0,True,True
