terminal_id,tls_id,junction_id,install_candidate_status,is_route_relevant,terminal_status,control_event_count,skip_event_count,not_on_route_event_count,covered_route_ids,last_reason
PT_001,11203059756,11203059756,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_011,priority_terminal_loaded_but_not_on_selected_route
PT_002,11346754524,11346754524,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_007 ER_ACC_017,priority_terminal_loaded_but_not_on_selected_route
PT_003,11346754525,11346754525,PASS,True,CONTROLLED,1,0,0,ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_006 ER_ACC_011 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_018 ER_ACC_019,emergency_passed_tls
PT_004,13732389937,13732389937,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_003 ER_ACC_014,priority_terminal_loaded_but_not_on_selected_route
PT_005,13732389938,13732389938,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_003 ER_ACC_014,priority_terminal_loaded_but_not_on_selected_route
PT_006,4202879197,4202879197,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_010,priority_terminal_loaded_but_not_on_selected_route
PT_007,436870729,436870729,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_008,priority_terminal_loaded_but_not_on_selected_route
PT_008,7311080426,7311080426,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_011,priority_terminal_loaded_but_not_on_selected_route
PT_009,7335400049,7335400049,PASS,True,CONTROLLED,1,0,0,ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_011 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,emergency_passed_tls
PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,cluster_11203041632_11203041633_11203041634_11203041635_#5more,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_002 ER_ACC_003 ER_ACC_013 ER_ACC_014,priority_terminal_loaded_but_not_on_selected_route
PT_011,cluster_11277565408_11277565409_414685823_5851251280,cluster_11277565408_11277565409_414685823_5851251280,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_013,priority_terminal_loaded_but_not_on_selected_route
PT_012,cluster_12785870414_3337522189,cluster_12785870414_3337522189,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_010,priority_terminal_loaded_but_not_on_selected_route
PT_013,cluster_1326096615_3849700763,cluster_1326096615_3849700763,PASS,True,SKIPPED,0,1,0,ER_ACC_001 ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_008 ER_ACC_009 ER_ACC_010 ER_ACC_011 ER_ACC_012 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,safe_green_not_current_or_next_phase
PT_014,cluster_13348293702_13348293703_414685829,cluster_13348293702_13348293703_414685829,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_009 ER_ACC_010 ER_ACC_012,priority_terminal_loaded_but_not_on_selected_route
PT_015,cluster_3846534041_436877431,cluster_3846534041_436877431,PASS,True,CONTROLLED,1,0,0,ER_ACC_001 ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_008 ER_ACC_009 ER_ACC_010 ER_ACC_011 ER_ACC_012 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,emergency_passed_tls
PT_016,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_5593950669_5593950674,11139302904,PASS,True,CONTROLLED,1,0,0,ER_ACC_019,emergency_passed_tls
PT_017,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_002 ER_ACC_013,priority_terminal_loaded_but_not_on_selected_route
PT_018,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,PASS,True,SKIPPED,0,1,0,ER_ACC_002 ER_ACC_003 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_018 ER_ACC_019,safe_green_not_current_or_next_phase
PT_019,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,cluster_13348213189_13348213190_13348213191,PASS,True,CONTROLLED,1,0,0,ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_009 ER_ACC_010 ER_ACC_011 ER_ACC_012 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,emergency_passed_tls
PT_020,joinedS_4276255150_4276255151_4276255152_cluster_4276255149_436839431,4276255150,PASS,False,NOT_ON_ROUTE,0,0,1,ER_ACC_009 ER_ACC_012,priority_terminal_loaded_but_not_on_selected_route
