tls_id,boundary_id,signal_type,route_from_edge,route_to_edge,projection_distance_m,status,reason
CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,S01_S02,straight_signal,-174870621#2,-174870621#0,7.996,PASS,route_pair_stopline_projection
CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,S02_S03,straight_signal,800229255,180368918#0,7.999,PASS,route_pair_stopline_projection
CSV_TLS_S03_S04_TOYOKO_INN_HOTEL_FRONT,S03_S04,straight_signal,180368918#3,180368918#5,7.998,PASS,route_pair_stopline_projection
CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,S05_S06,intersection_signal,180368918#8,218773868#0,18.735,PASS,route_pair_stopline_projection
joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,S06_S07,intersection_signal,-1455512070,428260110,22.299,PASS,route_pair_stopline_projection
CSV_TLS_S08_S09_TOEGYE_RO_4_GA,S08_S09,intersection_signal,785130600#3,1455497345,10.814,PASS,route_pair_stopline_projection
joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,S09_S10,intersection_signal,218773869#9,219696193#1,27.57,PASS,route_pair_stopline_projection
CSV_TLS_S11_S12_TOEGYE_RO_2_GA,S11_S12,intersection_signal,420361196,180445419,1.599,PASS,route_pair_stopline_projection
CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,S13_S14,straight_signal,347237859#1,347237859#2,9.529,PASS,route_pair_stopline_projection
CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,S14_S15,straight_signal,347237859#4,347237859#5,3.201,PASS,route_pair_stopline_projection
joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,S15_S16,intersection_signal,781985787#0,218915135#3,17.723,PASS,route_pair_stopline_projection
CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,S16_S17,straight_signal,218915135#4,781983104#0,9.27,PASS,route_pair_stopline_projection
CSV_TLS_S17_S18_NAMDAEMUN_MARKET,S17_S18,straight_signal,781983104#0,781983104#1,3.19,PASS,route_pair_stopline_projection
CSV_TLS_S18_S19_SAMSEON_BUILDING,S18_S19,straight_signal,333557072#1,333557072#2,3.204,PASS,route_pair_stopline_projection
CSV_TLS_S19_S20_SEVERANCE_BUILDING,S19_S20,straight_signal,333557072#5,619147738#0,3.198,PASS,route_pair_stopline_projection
CSV_TLS_S21_S22_SEOUL_SQUARE_FRONT,S21_S22,straight_signal,619147738#0,619147738#1,3.198,PASS,route_pair_stopline_projection
CSV_TLS_S01_START_SINDANG_STATION,S01_START,intersection_signal,-218684411#0,-174870621#10,18.267,PASS,route_pair_stopline_projection
joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,S22_END,intersection_signal,585341908#0,585341908#1,45.866,WARN,route_pair_stopline_projection
